Set,Price_Euro,Pieces,Minifigs
Emmet,,,
Wyldstyle,,,
Benny,,,
Sweet Mayhem,,,
Cherry Picker,,,
Power Boat,,,
Getaway Truck,,,
Police Pursuit,,,
Rescue Helicopter,,,
Chevrolet Corvette ZR1,,,
Tracked Loader,,,
Remote-Controlled Stunt Racer,,,
Porsche 911 RSR,,,
Compact Crawler Crane,,,
Car Transporter,,,
4x4 X-Treme Off-Roader,,,
Liebherr R 9800,,,
Land Rover Defender,,,
Elsa's Ice Palace,,,7.0
City Shaper Challenge Kit,,,1.0
BOOMTOWN BUILD Inspire Set,,,
BOOMTOWN BUILD Discovery Set,,,4.0
Ski Resort,,,11.0
Jet Patrol,,,2.0
Sky Police Drone Chase,,,3.0
Parachute Arrest,,,4.0
Diamond Heist,,,4.0
Air Base,,,6.0
Barbecue Burn Out,,,2.0
Dock Side Fire,,,2.0
Burger Bar Fire Rescue,,,3.0
Fire Station,,,4.0
Downtown Fire Brigade,,,7.0
Fire Plane,,,3.0
Desert Rally Racer,,,1.0
Construction Loader,,,1.0
Garbage Truck,,,2.0
Diving Yacht,,,2.0
Snow Groomer,,,2.0
Harvester Transport,,,3.0
Satellite Service Mission,,,1.0
Rover Testing Drive,,,2.0
Mars Research Shuttle,,,2.0
Lunar Space Station,,,5.0
Deep Space Rocket and Launch Control,,,7.0
Rocket Assembly & Transport,,,8.0
People Pack - Space Research and Development,,,15.0
Fire Chief Response Truck,,,2.0
Garage Centre,,,4.0
Donut Shop Opening,,,10.0
People Pack - Fun Fair,,,14.0
LEGO City Advent Calendar,,,8.0
Straight & T-Junction ,,,
Curves & Crossroad,,,
Police Patrol Car,,,1.0
Kayak Adventure,,,1.0
Super Pack 3-in-1,,,
Super Pack 2-in-1 ,,,
Super Pack 2-in-1 ,,,
Bonus/Value pack,,,
Bonus/Value pack,,,
2-in-1 Value Pack: Star-Lord & Gamora,,3.0,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
Super Pack 3-in-1,,,
J.B.'s Ghost Lab,,,3.0
Wrecked Shrimp Boat,,,4.0
Graveyard Mystery,,,4.0
El Fuego's Stunt Truck,,,4.0
Shrimp Shack Attack,,,5.0
Paranormal Intercept Bus 3000,,,5.0
Ghost Train Express,,,6.0
Newbury Haunted High School,,,8.0
Spinjitzu Kai,,,1.0
Spinjitzu Jay,,,1.0
Spinjitzu Zane,,,1.0
Spinjitzu Cole,,,1.0
Spinjitzu Nya & Wu,,,2.0
Spinjitzu Lloyd vs. Garmadon,,,2.0
The Samurai Mech,,,3.0
The Golden Dragon,,,3.0
Kai's Blade Cycle & Zane's Snowmobile,,,4.0
Jay's Storm Fighter,,,4.0
Cole's Earth Driller ,,,4.0
Monastery of Spinjitzu,,,8.0
Lloyd's Journey,,,2.0
Cole's Dirt Bike,,,3.0
Shuricopter,,,3.0
Fire Fang,,,4.0
Katana 4X4,,,5.0
Lloyd's Titan Mech,,,6.0
Land Bounty,,,9.0
Castle of the Forsaken Emperor,,,7.0
The Ultra Dragon,,,6.0
Monastery Training,,,2.0
Spinjitzu Slam - Lloyd,,,1.0
Spinjitzu Slam - Jay,,,1.0
Spinjitzu Slam - Zane,,,1.0
Spinjitzu Slam - Kai vs. Samurai,,,2.0
LEGO Movie Maker,,,6.0
Emmet and Benny's 'Build and Fix' Workshop!,,,2.0
Unikitty's Sweetest Friends EVER!,,,3.0
Emmet's Thricycle!,,,1.0
Introducing Queen Watevra Wa'Nabi,,,4.0
Queen Watevra's Build Whatever Box!,,,
Rex's Rex-treme Offroader!,,,2.0
Ultrakatty & Warrior Lucy!,,,2.0
Pop-Up Party Bus,,,4.0
Emmet and Lucy's Escape Buggy!,,,4.0
Sweet Mayhem's Systar Starship!,,,3.0
Emmet's Dream House/Rescue Rocket!,,,4.0
Emmet's Builder Box!,,,1.0
Lucy's Builder Box!,,,2.0
MetalBeard's Heavy Metal Motor Trike!,,,2.0
Rex's Rexplorer!,,,2.0
Battle-Ready Batman and MetalBeard,,,2.0
Shimmer & Shine Sparkle Spa!,,,8.0
Queen Watevra's 'So-Not-Evil' Space Palace,,,5.0
The Rexcelsior!,,,4.0
Welcome to Apocalypseburg!,,,13.0
Benny's Space Squad,,,5.0
Emmet's Triple-Decker Couch Mech,,,3.0
Good Morning Sparkle Babies!,,,4.0
Systar Party Crew,,,2.0
Wyld-Mayhem Star Fighter,,,4.0
LEGO Minifigures - The LEGO Movie 2 Series {Random bag},,,
Awesome Remix Emmet,,,1.0
Battle-Ready Lucy,,,1.0
Apocalypse Benny,,,1.0
Giraffe Guy,,,1.0
Crayon Girl,,,1.0
Sherry Scratchen-Post & Scarfield,,,1.0
Hula Lula,,,1.0
Watermelon Dude,,,1.0
Flashback Lucy,,,1.0
Swamp Creature,,,1.0
Candy Rapper,,,1.0
Gone Golfin' President Business,,,1.0
Apocalypseburg Abe,,,1.0
Vest Friend Rex,,,1.0
Kitty Pop,,,1.0
Dorothy Gale & Toto,,,1.0
Cowardly Lion,,,1.0
Scarecrow,,,1.0
Tin Man,,,1.0
Unikitty,,,1.0
LEGO Minifigures - The LEGO Movie 2 Series - Complete,,,20.0
LEGO Minifigures - The LEGO Movie 2 Series - Sealed Box,,,
LEGO Minifigures - Disney Series 2 {Random bag},,,
Vintage Mickey,,,1.0
Vintage Minnie,,,1.0
Huey Duck,,,1.0
Dewey Duck,,,1.0
Louie Duck,,,1.0
Scrooge McDuck,,,1.0
Chip,,,1.0
Dale,,,1.0
Elsa,,,1.0
Anna,,,1.0
Jafar,,,1.0
Jasmine,,,1.0
Hades,,,1.0
Hercules,,,1.0
Sally,,,1.0
Jack Skellington,,,1.0
Edna Mode,,,1.0
Frozone,,,1.0
LEGO Minifigures - Disney Series 2 - Complete,,,18.0
LEGO Minifigures - Disney Series 2 - Sealed Box,,,
LEGO Minifigures - Series 19 {Random Bag},,,
Video Game Champ,,,1.0
Shower Guy,,,1.0
Fright Knight,,,1.0
Monkey King,,,1.0
Programmer,,,1.0
Mummy Queen,,,1.0
Jungle Explorer,,,1.0
Fire Fighter,,,1.0
Dog Sitter,,,1.0
Pizza Costume Guy,,,1.0
Galactic Bounty Hunter,,,1.0
Gardener,,,1.0
Rugby Player,,,1.0
